Virksomhedsnr.;Hvordan ser du mulighederne for at låne penge til din virksomhed? (fiktivt spørgsmål);Antal ansatte Cvr-nr.;Etableringsdato;Branchekode primær;Branchebetegnelse primær;Overført resultat 2021 (1.000 kr);Overført resultat 2020 (1.000 kr);Overført resultat 2019 (1.000 kr);Overført resultat 2018 (1.000 kr);Overført resultat 2017 (1.000 kr);Overført resultat 2016 (1.000 kr);Likvider 2021 (1.000 kr);Likvider 2020 (1.000 kr);Likvider 2019 (1.000 kr);Likvider 2018 (1.000 kr);Likvider 2017 (1.000 kr);Likvider 2016 (1.000 kr);Egenkapital 2021 (1.000 kr);Egenkapital 2020 (1.000 kr);Egenkapital 2019 (1.000 kr);Egenkapital 2018 (1.000 kr);Egenkapital 2017 (1.000 kr);Egenkapital 2016 (1.000 kr);Langfristet gæld 2021 (1.000 kr);Langfristet gæld 2020 (1.000 kr);Langfristet gæld 2019 (1.000 kr);Langfristet gæld 2018 (1.000 kr);Langfristet gæld 2017 (1.000 kr);Langfristet gæld 2016 (1.000 kr);Kortfristet gæld 2021 (1.000 kr);Kortfristet gæld 2020 (1.000 kr);Kortfristet gæld 2019 (1.000 kr);Kortfristet gæld 2018 (1.000 kr);Kortfristet gæld 2017 (1.000 kr);Kortfristet gæld 2016 (1.000 kr);Balance 2021 (1.000 kr);Balance 2020 (1.000 kr);Balance 2019 (1.000 kr);Balance 2018 (1.000 kr);Balance 2017 (1.000 kr);Balance 2016 (1.000 kr);Afkastningsgrad 2021 (%);Afkastningsgrad 2020 (%);Afkastningsgrad 2019 (%);Afkastningsgrad 2018 (%);Afkastningsgrad 2017 (%);Afkastningsgrad 2016 (%);Likviditetsgrad 2021 (%);Likviditetsgrad 2020 (%);Likviditetsgrad 2019 (%);Likviditetsgrad 2018 (%);Likviditetsgrad 2017 (%);Likviditetsgrad 2016 (%);Soliditetsgrad 2021 (%);Soliditetsgrad 2020 (%);Soliditetsgrad 2019 (%);Soliditetsgrad 2018 (%);Soliditetsgrad 2017 (%);Soliditetsgrad 2016 (%);Egenkapital forrentning 2021 (%);Egenkapital forrentning 2020 (%);Egenkapital forrentning 2019 (%);Egenkapital forrentning 2018 (%);Egenkapital forrentning 2017 (%);Egenkapital forrentning 2016 (%)
4472; Gode;4018;01-07-1973;324000;Fremstilling af spil og legetøj;;5984000;6664000;7570312;7477858;7036195;;500000;371000;673456;451177;528147;;14201000;14296000;14720840;14086293;15086195;;1151000;1306000;169306;202575;213348;;17150000;12767000;13439570;12328176;10587919;;32607000;28466000;28406272;26833847;26071731;;29,09;30,09;32,15;32,12;43,6;;165,21;189,75;189,69;193,6;215,99;;43,55;50,22;51,82;52,49;57,86;;51,31;45,96;48,9;48,67;60
4465; Gode;3944;01-07-1992;842500;Brandvæsen;;2352000;2408000;2232000;2141000;3280000;;272000;56000;78000;558000;196000;;2510000;2460000;2320000;2229000;3368000;;793000;863000;4236000;4909000;2744000;;6169000;7823000;4619000;2813000;5394000;;9573000;11203000;11242000;10063000;11506000;;2,7;-3,45;-0,13;-1,26;2,27;;27,52;32,38;48,69;72,31;74,21;;26,22;21,96;20,64;22,15;29,27;;2,87;7,15;3,92;;18,17
4473; Gode;2810;25-09-1961;281400;Fremstilling af andre haner og ventiler;;;;;;;;4119821;618773;186643;;;;22532595;21589970;21546010;22084000;20662000;;8678396;7947137;7234263;7322000;6861000;;9347681;7798035;7092415;11052000;11381000;;40558671;37335141;36484876;41097000;39264000;;1,58;1,36;1,33;1,59;1,29;;85,84;115,68;160;105,19;96,17;;55,56;57,83;59,05;53,74;52,62;;1,75;5,15;8,97;10,46;13,18
4446; Gode;2678;04-03-1971;711210;Rådgivende ingeniørvirksomhed inden for byggeri og anlægsarbejder;;548018;509977;383867;290281;236567;;10401;24968;23323;8583;8741;;583018;544977;418867;425281;401567;;185354;70645;4167;3178;4924;;1481354;1282974;1114457;930723;876504;;2448333;2075660;1746734;1603584;1474100;;5,01;7,03;6,2;11,76;14,92;;145,5;134,12;125,47;135,73;132,3;;23,81;26,26;23,98;26,52;27,24;;14,05;23,13;21,02;35,2;33,87
4470; Gode;2607;13-11-2000;201400;Fremstilling af andre organiske basiskemikalier;;10352000;10118000;11316000;13250000;12534000;;475000;141000;104000;130000;429000;;9891000;10318000;10362000;10621000;11864000;;3408000;2950000;1474000;1312000;1727000;;4622000;5824000;6283000;5941000;4086000;;18635000;19550000;18508000;18117000;18073000;;13,45;10,87;14;15,33;14,32;;69,1;52,25;51,66;64,25;83,38;;53,08;52,78;55,99;58,62;65,64;;26,41;29,76;26,22;28,44;31,06
4469; Gode;2476;16-10-1999;501000;Sø- og kysttransport af passagerer;;7808000;7440000;6604400;3458200;3157800;;735000;656000;580600;937600;603100;;9383000;9341000;8416700;4961500;4750300;;3093000;3068000;1765000;2408700;2219600;;4760000;4688000;3705500;4225200;4684200;;17236000;17097000;13887200;11625600;11699300;;0,61;6,53;8,62;11,44;11,2;;59,68;82,12;74,05;68,48;45,71;;54,44;54,64;60,61;42,68;40,6;;1,5;11,23;30,15;37,86;32,45
4474; Gode;2161;01-09-1986;721900;Anden forskning og eksperimentel udvikling inden for naturvidenskab og teknik;;23750903;13809386;14587978;16525781;17851920;;17058413;17815674;18477608;21329354;24791854;;32964231;23030564;21755050;21887909;22545487;;4662435;4080894;4218121;3716253;3689397;;46587167;64928732;39553279;43656659;52811930;;88333432;97560959;70274634;73714365;82922168;;1,73;3,72;7,23;9,19;10,96;;105,62;102,38;105,38;109,83;110,66;;37,32;23,61;30,96;29,69;27,19;;16,96;22,16;22,92;29,81;31,51
4433; Gode;2136;23-08-1957;281300;Fremstilling af andre pumper og kompressorer;;798126;820298;845693;1099087;927355;;292;450;0;2;0;;1238756;1275650;1505883;1323188;1456885;;105660;36514;;;;;553149;562574;473378;725998;749877;;1937396;1915297;2016087;2096942;2251300;;8,75;10,01;8,91;8,6;8,03;;78,71;66,57;89,3;61,59;56,09;;63,94;66,6;74,69;63,1;64,71;;13,01;14,48;11,8;11,7;11,07
4471; Gode;1727;29-06-2004;281110;Fremstilling af vindmøller og dele hertil;;7302632;7265103;7186930;7556845;6390084;;;0;186327;167338;12566;;7502514;10395106;10310396;10625648;10525395;;33796;26031;;;;;11735284;8417759;5340098;4434206;17422572;;19491529;18909991;15650494;15059853;27947965;;0,01;0,84;0,32;1,37;1,49;;135,21;144,44;171,24;201,02;118,94;;38,49;54,97;65,88;70,56;37,66;;2,07;0,06;1,6;0,25;4,92
4405; Gode;1659;05-03-2010;331700;Reparation og vedligeholdelse af andre transportmidler;;802495;768583;738252;665240;594032;;;;;;;;830995;797083;766752;693740;622532;;0;27116;;;;;342483;342489;424735;420997;415446;;1184581;1188729;1205665;1140231;1083655;;3,17;3,84;8,52;6,7;10,2;;308,55;300,62;243,05;228,73;217,26;;70,15;67,05;63,6;60,84;57,45;;4,27;5,04;9,8;8,98;13,72
4461; Gode;1562;30-11-1972;711220;Rådgivende ingeniørvirksomhed inden for produktions- og maskinteknik;;1446000;1024000;537000;625000;901000;;893000;486000;435000;613000;179000;;2138000;1912000;1286000;1664000;2239000;;1829000;1633000;2000000;1236000;1836000;;2461000;3075000;2132000;2434000;2066000;;6428000;6620000;5418000;6055000;6798000;;4,62;10,38;10,89;5,95;7,83;;137,55;106,34;115,71;125,02;133,45;;33,26;28,88;23,74;27,48;32,94;;20,67;29,5;35,07;;21,8
4468; Gode;1464;01-09-1988;205900;Fremstilling af andre kemiske produkter i.a.n.;;5199593;1920192;2019918;1730162;1436643;;1309173;154726;271854;61644;275174;;6583771;3757039;3294896;2960954;2630744;;1040405;1265993;417157;501619;404860;;4079523;1435888;2068385;2062769;1802403;;12622141;6981798;6286999;5895269;5183335;;13,94;26,61;27,69;28,75;28,19;;66,7;107,92;76,9;68,41;79,93;;52,16;53,81;52,41;50,23;50,75;;17,51;38,92;40,49;44,93;43,34
4450; Gode;1463;01-04-1990;101300;Produktion af kød- og fjerkrækødprodukter;;820000;793000;573000;498000;420000;;4000;;0;1000;1000;;1609000;1483000;1263000;1411000;1391000;;323000;920000;1008000;111000;412000;;1515000;975000;1040000;1076000;856000;;3501000;3379000;3316000;2622000;2695000;;4,11;1,24;3,41;5,26;8,57;;82,31;116,41;104,71;129,28;124,07;;45,96;43,89;38,09;53,81;51,61;;6,15;15,17;5,94;8,65;15,24
4466; Gode;1376;04-09-1957;325000;Fremstilling af medicinske og dentale instrumenter samt udstyr hertil;;3327000;3216000;3064000;2732000;2399000;;41000;55000;56000;66000;299000;;6367000;5928000;5580000;5231000;4561000;;;;;;;;3297000;3623000;3996000;5464000;4828000;;9863000;9819000;9682000;10849000;9643000;;44,02;40,81;38,33;36,08;31,8;;144,19;139,61;111,04;94,47;109,84;;64,55;60,37;57,63;48,22;47,3;;64,35;63,5;66,99;68,5;68,32
4460; Gode;1367;30-12-1957;266010;Fremstilling af høreapparater og dele hertil;;1393856;1656891;1877429;1759027;1498890;;270132;24876;9633;15983;66855;;2032097;2538565;2743454;2645046;2057380;;98520;4169;6405;6510;300;;3922653;3851297;3567370;3266562;3352635;;6183328;6516877;6435931;6064633;5519942;;4,95;10,95;19,23;21,39;17,19;;122,57;130,45;141,18;140,03;116,22;;32,86;38,95;42,63;43,61;37,27;;8,14;21,73;35,09;38,24;36,14
4419; Gode;1245;01-01-1999;236100;Fremstilling af byggematerialer af beton;;395430;354759;281824;277345;253492;;34;797974;741189;701715;661474;;620430;579759;506824;427345;428492;;79132;33587;3629;4345;5043;;660335;689478;712581;794282;621478;;1459219;1396353;1327764;1314836;1127540;;16,1;20,19;23,81;19,07;15,81;;174,42;156,61;146,31;132,09;146,65;;42,52;41,52;38,17;32,5;38;;30,73;38,45;50,21;46,53;33,14
4453; Gode;1220;12-12-2002;581300;Udgivelse af aviser og dagblade;;2348466;2150256;1895959;1771605;1580322;;9932;13182;14392;2513;120355;;2974726;2448404;2197937;2077405;1884382;;63431;22791;1379;1496;1606;;624375;640315;745561;714609;698244;;3812550;3172235;3007707;2852568;2645913;;3,48;7,1;6,04;6,69;3,28;;304,71;270,74;231,66;234,06;279,7;;78,02;77,18;73,08;72,83;71,22;;7,03;10,8;6,24;9,81;7,23
4448; Gode;1213;30-09-1980;271100;Fremstilling af elektriske motorer, generatorer og transformere;;1552215;1409726;1179232;976318;745022;;715766;560694;421898;354459;328285;;2556868;2313105;1996738;1698162;1411262;;50820;0;0;15736;19251;;621546;633565;621247;565254;526099;;3320295;3027931;2683907;2337710;2000997;;14,78;18,67;21,1;26,75;26,11;;265,57;235,61;206,87;211,01;197,57;;77,01;76,39;74,4;72,64;70,53;;21,44;26,54;30,35;35,36;39,27
4403; Gode;1175;30-04-1991;421100;Anlæg af veje og motorveje;;301428;267619;344026;;;;31543;14148;71221;57576;4554;;354771;374619;389475;409875;352387;;213561;188885;136732;150731;106508;;593005;555220;559363;541644;495837;;1161337;1118724;1085570;1102250;963838;;5,63;7,02;0,36;6,68;-5,91;;95,32;96,95;118,18;126,48;112,16;;30,55;33,49;35,88;37,19;36,56;;15,17;23,54;5,02;13,9;
4413; Gode;1173;01-08-1989;493110;Rutebuskørsel, by- og nærtrafik;;232640;213691;196875;185110;168738;;16837;16418;22518;258670;38762;;234440;215491;198675;186910;170538;;300648;342475;392781;517599;615008;;732361;822549;161522;357251;177380;;1277832;1393766;769097;1078947;982981;;1,96;0,59;1,46;1,53;2,01;;122,52;32,69;178,07;161,84;255,38;;18,35;15,46;25,83;17,32;17,35;;8,08;7,8;5,92;8,76;6,65
4437; Gode;1160;12-12-2001;522920;Speditører;;45908;265860;265506;264569;275243;;112;142;116;223;174;;437908;578860;567506;423869;436493;;;;;;;;1632940;1878041;1011844;1084788;1009606;;2115529;2524119;1658775;1562715;1500530;;11,31;15,55;22,67;11,54;12,68;;106,95;119,28;143,77;127,07;127,04;;20,7;22,93;34,21;27,12;29,09;;40,15;51,95;50,9;30,74;32,56
4463; Gode;1134;14-01-2004;265100;Fremstilling af udstyr til måling, afprøvning, navigation og kontrol;;2051822;3762965;2475148;10631056;8349652;;16117;3724;11454;6003;1532;;7084601;6262486;13711504;13155595;11579742;;12624;5691;3697;0;907040;;985887;923242;937802;988589;1345802;;8546048;7707180;15220638;14788341;14560105;;11,21;10,42;3,78;3,39;3,69;;424,31;343,01;193,02;256,8;104,28;;82,9;81,26;90,08;88,96;79,53;;11,64;11,43;4,05;3,54;5,72
4443; Gode;1131;15-04-1985;412000;Opførelse af bygninger;;144792;163830;122962;129369;119333;;1495891;1131559;1001737;893029;963401;;334792;286830;162962;239369;259333;;405;25468;;;;;1646417;1336080;1383393;1285642;1081687;;2352632;2003746;1908813;1784900;1608847;;7,02;7,91;-0,32;4,84;11,55;;140,96;147,28;134,72;135,89;143,74;;14,23;14,31;8,54;13,41;16,12;;38,8;42,86;;29,23;55,77
4428; Gode;1020;07-03-1997;271100;Fremstilling af elektriske motorer, generatorer og transformere;;21786;92994;28151;35700;268424;;;;;0;470;;364039;306113;360121;479960;720828;;136457;133144;203053;202937;133221;;1178290;1320223;1095014;923329;707547;;1735978;1795427;1701233;1663688;1634358;;1,43;4,97;5,3;6,54;13,27;;37,38;39,41;44,52;45,32;72,99;;20,97;17,05;21,17;28,85;44,1;;15,91;31,36;50,03;22,74;51,39
4416; Gode;987;01-01-2001;281200;Fremstilling af hydraulisk udstyr;;4846;326314;17924;1264886;955592;;;;;;;;885486;557314;388924;1495886;1186592;;64701;30669;10769;9137;9614;;439025;519032;509289;477804;378977;;1421022;1138450;938343;2008960;1604070;;28,84;34,78;40,26;19,81;20,33;;254,79;158,72;132,93;367,66;352,56;;62,31;48,95;41,45;74,46;73,97;;37,06;55,34;75,35;20,68;21,49
4462; Gode;973;16-10-1999;110500;Fremstilling af øl;;1558000;1485017;1418481;1522551;1620137;;15000;229;2057;47304;118;;3088000;2967329;2846502;2908722;2995688;;1592000;1585239;1888962;703450;685700;;1920000;2100210;1499806;1799171;1379324;;6600000;6652780;6235272;5411343;5060712;;10,91;10,36;11,1;11,13;11,49;;31,72;27,24;39,04;29,55;32,05;;46,79;44,6;45,65;53,75;59,19;;34,65;36,19;31,58;28,68;24,96
4396; Gode;945;18-12-1978;463900;Ikke-specialiseret engroshandel med føde-, drikke- og tobaksvarer;;626871;591884;501713;449053;401123;;111961;17132;26445;16788;2474;;716871;699247;591713;539053;491123;;0;5755;;;;;330228;332752;300702;278952;311935;;1059310;1052339;907251;830323;811844;;2,2;13,41;7,56;7,3;14,39;;253,29;242,05;215,41;213,58;200,21;;67,67;66,45;65,22;64,92;60,49;;2,46;15,38;8,9;8,89;18,54
4249;Gode;925;21-12-1981;494100;Vejgodstransport;;64884;97676;89077;60403;85916;;5;6;9;9;98;;161455;124856;156487;138657;106980;;;;;;;;153442;150424;143373;173304;147566;;316026;279615;302710;313178;317000;;10,11;4,01;3,43;3,38;3,54;;136,58;107,76;134,12;63,68;89,67;;51,09;44,65;51,7;44,27;33,75;;22,67;14,71;11,39;22,85;15,83
4445; Gode;890;05-10-1981;259200;Fremstilling af letmetalemballage;;541277;504973;682847;459431;400934;;2042;18835;181212;49923;26921;;1162619;1079864;1010661;894213;794341;;583435;685359;62500;112500;162500;;590606;546543;368935;454483;394126;;2422016;2367880;1516749;1512581;1398589;;3,62;1,42;5,67;4,13;3,02;;107,86;97,53;214,95;141,99;147,81;;48;45,6;66,63;59,12;56,8;;7,98;6,59;10,07;12,12;12,35
4393; Gode;869;09-05-1980;310200;Fremstilling af køkkenmøbler;;206502;263606;236133;241084;233360;;21915;641;602;984;21987;;533436;574606;517133;542084;489360;;43873;15507;1670;446;1005;;395128;373519;296832;309402;312661;;981001;974758;830733;868636;813812;;32,54;28,54;33,24;34,46;36,14;;156,08;148,34;148,99;152,52;138,16;;54,38;58,95;62,25;62,41;60,13;;58,12;52,26;45,61;48,21;46,28
4458; Gode;855;09-08-1961;212000;Fremstilling af farmaceutiske præparater;;2771000;1822000;1498000;2269000;1959000;;162000;188000;130000;58000;87000;;2886000;1938000;1624000;2386000;2119000;;975000;964000;724000;740000;756000;;1230000;1591000;2235000;1947000;1765000;;5091000;4493000;4583000;5073000;4640000;;3,89;-14,29;-23,72;-8,91;-7,09;;136,34;83,16;51,95;81,66;68,9;;56,69;43,13;35,44;47,03;45,67;;30,8;15,84;;;
4459; Gode;813;01-06-2001;212000;Fremstilling af farmaceutiske præparater;3865028;3761478;;3937794;3684293;3597856;331911;49456;;178945;4775;21160;3865418;3761868;;3938184;3684683;3598246;136704;;;;;;1643359;1564391;;366334;532116;969514;5848427;5508130;;4540601;4416378;4730794;3,73;-3,44;;6,99;3,83;3,23;104,61;90,03;;210,12;89,21;67,66;66,09;68,3;;86,73;83,43;76,06;2,68;;;6,44;4,63;3,03
4213;Gode;805;01-01-2008;432100;El-installation;;32795;35606;36955;35831;34283;;30590;5430;758;6403;6207;;50831;56026;51514;49353;47763;;39577;7434;5035;4608;1563;;163362;160055;161429;133397;133006;;272216;242990;237307;206951;205248;;9,29;12,99;10,41;10,66;11,81;;150,57;133,46;132,18;136,19;131,47;;18,67;23,06;21,71;23,85;23,27;;38,96;43,75;37,2;33,61;38,52
4425; Gode;789;01-12-1988;711220;Rådgivende ingeniørvirksomhed inden for produktions- og maskinteknik;;399746;307061;760390;699818;124375;;403470;324767;258259;284421;172277;;551765;412608;839369;768087;364758;;51717;;;0;10498;;1017949;904908;802107;761149;698046;;1671472;1385918;1676048;1569764;1092716;;11,94;8,36;6,22;5,16;3,9;;154,6;138,31;192,11;187,3;109,28;;33,01;29,77;50,08;48,93;33,38;;27,74;21,56;13,07;53,17;23,51
4420; Gode;781;28-12-1971;236300;Fremstilling af færdigblandet beton;;626672;570494;497578;450447;400637;;2111;2356;1207;946;33961;;749672;653494;560578;503447;453637;;365687;255318;317630;377828;381654;;343481;458245;339254;223907;276802;;1541784;1449428;1298400;1179009;1171104;;14,05;10,17;10,04;11,48;11,34;;154,48;105,7;124,56;166,95;154,42;;48,62;45,09;43,17;42,7;38,74;;24,56;23,17;19,54;21,67;21,29
4368; Gode;780;16-10-1999;532000;Andre post- og kurertjenester;458782;381013;353682;262743;141016;129005;143228;58580;20803;940;5126;22837;624094;509218;407546;264414;217073;205135;0;11165;42874;127552;88525;75207;244877;172955;169907;144544;124270;95498;886190;709267;633808;546528;438081;384715;33,24;27,55;28,62;22,86;24,04;22,72;177,87;165,31;131,34;119,55;121,3;152,02;70,42;71,79;64,3;48,38;49,55;53,32;38,43;30,34;35,26;46,04;39,75;38,05
4143;Gode;758;17-05-2001;532000;Andre post- og kurertjenester;;50393;39043;24752;18023;15016;;666;187;156;22;36;;60393;49043;42752;34023;25016;;5831;1617;;;;;130021;117072;104339;105095;71101;;196244;167732;147092;139118;96118;;6,82;7,73;13,97;7,1;4,36;;143,76;137,44;134,52;125,78;57,49;;30,77;29,24;29,06;24,46;26,03;;18,8;29,14;34,45;26,48;20,01
4454; Gode;758;01-06-1994;501000;Sø- og kysttransport af passagerer;;821248;607205;272822;123300;2907;;322623;222343;99064;30852;99040;;1074326;884308;521873;435137;318808;;2549372;2622496;2135189;1165521;694062;;612134;577652;524113;171697;130166;;4238161;4086681;3182819;1778170;1143262;;7,95;11,52;7,77;10,82;14,71;;83,93;73,9;55,44;75,45;135,2;;25,35;21,64;16,4;24,47;27,89;;19,92;37,81;29,9;27,67;37,25
4423; Gode;755;30-10-1992;502000;Sø- og kysttransport af gods;;544847;502534;536147;521129;497326;;235778;195204;161504;229753;156231;;681714;687538;662512;642034;649004;;662963;352838;291541;1861;242670;;254474;194778;159053;436472;199022;;1639077;1278284;1166862;1130168;1153506;;0,53;2,28;2,06;-0,77;12,25;;137,51;163,23;193,99;88,87;233,58;;41,59;53,79;56,78;56,81;56,26;;0,23;3,6;2,13;;15,04
4401; Gode;714;17-07-2002;239910;Fremstilling af asfalt og tagpap;;123704;97305;60231;89405;99430;;10;15;23;615;22;;264830;237850;201752;230140;250430;;34421;21353;;;;;796558;822730;995142;1025786;889215;;1148340;1134524;1248344;1311934;1197267;;3,01;4,97;-1,77;1,09;5,69;;73,11;65,7;62,38;64,85;63,85;;23,06;20,96;16,16;17,54;20,92;;10,2;15,57;;;17,98
4289; Gode;703;31-03-2008;493110;Rutebuskørsel, by- og nærtrafik;;47912;35664;7607;-1038;2506;;40699;1260;9573;1473;8766;;59053;43389;39684;40483;35175;;239961;268928;278488;21019;29937;;99026;81140;112886;70428;120229;;398040;393457;431847;134544;185780;;4,35;2,57;1,07;-8,32;-15,54;;134,17;101,55;69,47;75,5;91,33;;14,84;11,03;9,19;30,09;18,93;;26,53;8,55;;;
4438; Gode;703;01-01-1996;282500;Fremstilling af køle- og ventilationsanlæg (til industriel brug);;1118028;1026683;869470;836813;819242;;1121381;804621;485882;250987;588999;;1420708;1329363;1172150;1139493;1121922;;43081;;;;;;639804;583302;545871;368242;421079;;2136838;1920928;1729883;1519672;1554327;;8,58;11,42;4,61;1,53;6,35;;271,75;253,46;245,9;298,84;269,83;;66,49;69,2;67,76;74,98;72,18;;6,43;11,83;2,79;1,54;6,58
4400; Gode;689;01-07-1999;205900;Fremstilling af andre kemiske produkter i.a.n.;;507651;86843;75461;64922;63190;;197015;72581;74169;177082;17909;;512651;91843;80461;69922;68190;;117862;1558083;21770;1570;1483;;509992;595583;551737;786359;394381;;1146507;2247852;656386;864241;468746;;2,58;0,69;3,95;0,15;1,39;;129,75;357,68;94,04;90,21;74,92;;44,71;4,09;12,26;8,09;14,55;;1,56;5,82;13,1;2,48;1,85
4322; Gode;679;01-07-1987;422100;Anlæg af ledningsnet til væsker;;186278;176708;156513;133957;142129;;6716;1615;3858;5505;19860;;242739;205336;187474;168426;174629;;1770;2481;3255;;;;230922;153801;187394;172258;167259;;481772;368545;391099;356113;358990;;7,35;5,25;5,65;4,4;14,7;;142,4;177,71;160,41;163,66;188,41;;50,38;55,72;47,94;47,3;48,64;;19,53;10,89;11,92;9,68;20,52
4389; Gode;643;30-09-1970;281400;Fremstilling af andre haner og ventiler;;314210;299557;264580;256854;255409;;15;18;14;16;29;;530221;537557;454580;441854;295409;;38289;17476;;;;;338196;414261;345629;379124;370190;;938686;997548;827642;843730;683676;;40,61;35,21;41,73;38,51;40,69;;150,67;134,6;148,82;132,93;106,43;;56,49;53,89;54,92;52,37;43,21;;35,77;41,36;33,94;33,51;11,12
4434; Gode;622;02-01-2001;108900;Fremstilling af andre fødevarer i.a.n.;;367081;388923;701253;650938;566155;;62977;9991;84553;4;56;;770126;778328;895989;770467;659605;;624656;596200;580868;577041;210374;;453138;406174;427397;195408;569174;;1998384;1894241;2004031;1627578;1517001;;11,61;7,28;4,51;10,53;9,43;;102,28;90,82;129,83;177,93;61,7;;38,54;41,09;44,71;47,34;43,48;;20,18;10,45;5,12;13,8;15,17
4457; Gode;614;01-01-1989;202000;Fremstilling af pesticider og andre agrokemiske produkter;;2600077;2405903;2381573;2252513;2166518;;18214;2839;1800;6467;6361;;3019417;2771318;2696884;2630906;2475801;;138987;154577;0;1746270;1014547;;1274668;1381881;1484085;1273653;909209;;4921944;4762574;4582308;6056184;4756351;;4,04;4,67;5,38;6,25;5,61;;234,52;187,88;164,79;303,94;335,08;;61,35;58,19;58,85;43,44;52,05;;8,22;2,69;2,45;5,9;12,21
4394; Gode;609;17-12-1982;421100;Anlæg af veje og motorveje;512679;479049;466857;431107;401275;323399;50964;123005;272;57112;130443;104763;537870;524049;476857;486107;426275;348399;15738;30944;6066;26180;0;0;297964;362761;522105;413193;316009;401188;922800;993135;1078956;994833;813957;820738;5,74;6,23;4,47;10,86;14,97;13,55;202,35;188,15;146,91;161,11;153,46;124,06;58,29;52,77;44,2;48,86;52,37;42,45;9,97;9,97;8,52;16,46;22,13;19,52
4341; Gode;590;23-06-2000;432100;El-installation;;58225;85811;54663;28360;50212;;153159;30035;488;492;578;;119425;97011;68921;43860;80955;;347;862;2174;2455;1888;;426564;263327;270245;278987;308338;;556275;378595;359304;344930;399378;;5,98;10,24;2,88;-6,87;6,12;;123,47;131,03;126,16;113,93;118,42;;21,47;25,62;19,18;12,72;20,27;;18,77;28,96;3,86;;18,58
4406; Gode;590;01-11-1986;412000;Opførelse af bygninger;;334840;261006;189182;166045;147705;;5;7;89;289;6338;;343472;299607;198042;215611;217138;;45577;39009;14807;17703;22776;;700130;521135;687424;490482;348916;;1196265;993161;1049007;761972;631162;;8,04;13,21;-0,82;9,47;13,85;;158;174,98;139,69;135,31;148,96;;28,71;30,17;18,88;28,3;34,4;;21,51;33,9;;27,12;30,06
4346; Gode;571;19-06-2009;421200;Anlæg af jernbaner og undergrundsbaner;;180783;179533;150227;118035;97495;;32312;2672;10611;34527;6264;;229783;213533;164227;127035;108036;;41100;0;3149;3149;3149;;284263;303857;345584;252258;192188;;592102;546450;546668;404908;337676;;9,1;12,93;8,66;6,39;5,26;;138,4;118,34;110,07;91,73;118,98;;38,81;39,08;30,04;31,37;31,99;;17,95;25,43;22,65;15;12,51
4369; Gode;566;19-12-2007;429100;Anlæg af vandveje, havne, diger og dæmninger;;251252;208092;192072;163877;128285;;84779;131295;121992;129190;103231;;281252;253092;252072;223877;178285;;35974;11431;17689;18684;14335;;317012;276985;286952;275839;328515;;715160;604847;623422;567211;573211;;13,78;9,88;16,54;18,16;15,62;;207;195,68;193,21;180,44;159,24;;39,33;41,84;40,43;39,47;31,1;;29,57;20,16;31,02;38,23;39,35
4311; Gode;548;05-10-1998;493120;S-togstrafik, metro og andre nærbaner;;184084;151335;163586;80734;55897;;72282;69904;78941;45320;48564;;207634;212135;181786;96834;72097;;30808;;;;;;147443;134646;77225;72702;65885;;456993;373310;274970;210659;185979;;16,22;16,9;47,03;24,31;21,61;;244,22;224,06;270,21;186,86;210,76;;45,43;56,83;66,11;45,97;38,77;;26,54;22,32;54,94;41,04;42,94
4351; Gode;547;01-01-1991;162300;Fremstilling af bygningstømmer og snedkeriartikler i øvrigt;;145654;121015;102684;101649;78533;;18422;2006;2013;2144;2073;;170654;146015;127684;126649;143533;;166657;176946;187381;197727;208116;;227967;207539;169856;176664;183324;;612332;574541;532429;527233;560594;;7,16;4,78;5,17;6,03;5,64;;165,85;162,87;167,45;152,61;139,05;;27,87;25,41;23,98;24,02;25,6;;14,44;12,55;0,81;18,25;16,15
4349; Gode;535;25-11-1976;172100;Fremstilling af bølgepap og pap og emballage af papir og pap;;197997;170494;149125;168893;172788;;1;2;12;14;17;;247997;220494;199125;218893;222788;;84003;133081;130580;128200;125894;;242061;167708;177534;163076;165542;;597605;544832;530817;539254;545312;;5,43;5,26;-2,14;2,04;6,54;;91,76;134,91;124,68;146,13;132,41;;41,5;40,47;37,51;40,59;40,86;;11,25;9,86;;;8,53
4302; Gode;533;15-11-1966;236100;Fremstilling af byggematerialer af beton;;88071;84756;109998;109238;88429;;153235;159512;131140;143830;45447;;129197;125882;166719;146959;126150;;33108;37728;42412;46729;51788;;271456;320814;288924;248153;158936;;436524;511718;520953;460055;349306;;0,47;-4,29;4,04;8,03;4,33;;112,2;114,82;130,34;125,49;133,75;;29,6;24,6;32;31,94;36,11;;2,57;;5,85;14,16;6,39
4257;Gode;527;22-03-1971;282500;Fremstilling af køle- og ventilationsanlæg (til industriel brug);;42925;48741;12641;12292;13181;;10;12;28;26;3429;;168599;109491;112641;108892;112181;;;;;;;;153130;158707;156000;165563;166434;;331345;277671;277976;283790;287755;;23,38;20,16;19,42;16,69;18,04;;118,41;96,66;92,74;89,09;86,24;;50,88;39,43;40,52;38,37;38,98;;35,06;33,66;35,82;32,79;35,08
