Virksomhedsnr.;Hvordan ser du mulighederne for at låne penge til din virksomhed? (fiktivt spørgsmål);Antal ansatte Cvr-nr.;Etableringsdato;Branchekode primær;Branchebetegnelse primær;Overført resultat 2021 (1.000 kr);Overført resultat 2020 (1.000 kr);Overført resultat 2019 (1.000 kr);Overført resultat 2018 (1.000 kr);Overført resultat 2017 (1.000 kr);Overført resultat 2016 (1.000 kr);Likvider 2021 (1.000 kr);Likvider 2020 (1.000 kr);Likvider 2019 (1.000 kr);Likvider 2018 (1.000 kr);Likvider 2017 (1.000 kr);Likvider 2016 (1.000 kr);Egenkapital 2021 (1.000 kr);Egenkapital 2020 (1.000 kr);Egenkapital 2019 (1.000 kr);Egenkapital 2018 (1.000 kr);Egenkapital 2017 (1.000 kr);Egenkapital 2016 (1.000 kr);Langfristet gæld 2021 (1.000 kr);Langfristet gæld 2020 (1.000 kr);Langfristet gæld 2019 (1.000 kr);Langfristet gæld 2018 (1.000 kr);Langfristet gæld 2017 (1.000 kr);Langfristet gæld 2016 (1.000 kr);Kortfristet gæld 2021 (1.000 kr);Kortfristet gæld 2020 (1.000 kr);Kortfristet gæld 2019 (1.000 kr);Kortfristet gæld 2018 (1.000 kr);Kortfristet gæld 2017 (1.000 kr);Kortfristet gæld 2016 (1.000 kr);Balance 2021 (1.000 kr);Balance 2020 (1.000 kr);Balance 2019 (1.000 kr);Balance 2018 (1.000 kr);Balance 2017 (1.000 kr);Balance 2016 (1.000 kr);Afkastningsgrad 2021 (%);Afkastningsgrad 2020 (%);Afkastningsgrad 2019 (%);Afkastningsgrad 2018 (%);Afkastningsgrad 2017 (%);Afkastningsgrad 2016 (%);Likviditetsgrad 2021 (%);Likviditetsgrad 2020 (%);Likviditetsgrad 2019 (%);Likviditetsgrad 2018 (%);Likviditetsgrad 2017 (%);Likviditetsgrad 2016 (%);Soliditetsgrad 2021 (%);Soliditetsgrad 2020 (%);Soliditetsgrad 2019 (%);Soliditetsgrad 2018 (%);Soliditetsgrad 2017 (%);Soliditetsgrad 2016 (%);Egenkapital forrentning 2021 (%);Egenkapital forrentning 2020 (%);Egenkapital forrentning 2019 (%);Egenkapital forrentning 2018 (%);Egenkapital forrentning 2017 (%);Egenkapital forrentning 2016 (%)
3862;Neutrale;70;01-01-2001;236100;Fremstilling af byggematerialer af beton;;46695;39915;39245;39068;39062;;0;2;0;4;18;;54695;47415;46745;45068;47062;;3183;1175;;;;;28914;29281;25301;22169;16740;;86793;77873;72047;67237;63802;;19,68;11,31;11,5;8,92;11,8;;199,67;170,31;173,21;182,25;215,88;;63,02;60,89;64,88;67,03;73,76;;25,19;15,12;14,29;11,11;13,12
4009; Gode;70;31-08-1971;259400;Fremstilling af lukkeanordninger, bolte, skruer og møtrikker;;62219;52343;45984;40821;30795;;1855;1154;930;388;42;;62514;52638;46279;41116;31090;;4944;530;;;;;55607;39688;40334;47982;43018;;127314;97272;91308;93928;78624;;9,98;8,52;7,42;13,8;13,95;;169,98;155,01;139,46;130,19;119,56;;49,1;54,11;50,68;43,77;39,54;;15,8;12,08;11,16;24,39;27,29
4055; Gode;70;01-04-1986;256200;Maskinforarbejdning;;32790;29487;24415;20736;19304;;19;19;26;24;33;;52790;39487;32415;25736;24304;;41047;42535;;615;2093;;54281;39751;74309;47306;44858;;149517;123362;108893;75656;74125;;14,67;10,36;7,4;4,45;7,08;;180,84;182,72;80,81;66,09;88,15;;35,31;32,01;29,77;34,02;32,79;;35,51;26,07;20,37;5,57;13,58
4149;Gode;70;14-12-1976;289300;Fremstilling af maskiner til føde-, drikke- og tobaksvareindustrien;;80496;76212;57206;43135;34045;;83336;69818;42078;7943;6443;;83486;79757;61897;49684;49145;;26409;6950;6963;7725;6632;;90009;68735;74134;77009;48933;;203928;160858;145748;137548;107541;;2,64;12,93;11,73;10,34;22,78;;178,22;204,48;166,72;146,06;169,17;;40,94;49,58;42,47;36,12;45,7;;4,47;22,39;19,73;21,21;40,22
4224;Gode;70;18-06-1984;522920;Speditører;;22627;21550;21099;18286;18205;;;;;;;;27627;26550;26099;23286;23205;;10391;1562;;0;7003;;239627;82511;75863;89295;60199;;282378;112230;103941;117706;98801;;7,52;0,22;-0,1;3,28;3,07;;117,46;133,22;136,1;131,03;163,88;;9,78;23,66;25,11;19,78;23,49;;3,9;1,7;10,78;0,35;6,52
3192; Gode;69;01-05-1997;432100;El-installation;;6500;6500;6500;6500;6000;;9730;2874;438;1594;2921;;11469;8910;8714;7781;8389;;3805;289;;;;;15396;15823;13969;14720;13156;;31022;25022;23106;22684;21594;;16,65;7,39;6,9;4,45;8;;197,65;152,65;157,2;151,75;162,31;;36,97;35,61;37,71;34,3;38,85;;34,61;15,82;13,93;10,04;16,56
3230; Gode;69;25-03-1992;522920;Speditører;;6708;6414;5063;4403;4513;;500;457;3022;368;731;;16708;6914;5563;4903;5013;;78;7005;7762;;;;14002;21784;13800;16949;10951;;32671;37299;28560;22979;17143;;4,83;5,47;3,93;-0,03;5,54;;102,01;86,18;67,96;90,4;91,13;;51,14;18,54;19,48;21,34;29,24;;1,76;19,54;11,86;;11,29
3356;Gode;69;01-07-2007;325000;Fremstilling af medicinske og dentale instrumenter samt udstyr hertil;;18299;17056;14846;11929;10775;;10115;7695;3482;902;3739;;23462;22293;20157;17254;15775;;0;1147;;;;;13467;12761;11478;9894;11725;;38429;37660;33091;28642;28687;;4;7,25;12,25;13,85;8,67;;251,56;254,22;233,86;223,68;192,08;;61,05;59,2;60,91;60,24;54,99;;4,98;9,58;16,01;18,28;12,53
3553;Gode;69;21-12-1987;463200;Engroshandel med kød og kødprodukter;;9500;9500;4500;4500;4500;;620;3018;9738;6925;1849;;19934;15881;16174;11708;7130;;1546;882;1033;1180;1328;;27771;40531;36613;30971;25838;;49575;57644;54172;44263;34596;;27,23;25,88;27,11;19,88;9,99;;145,73;119,31;120,92;111,25;100,22;;40,21;27,55;29,86;26,45;20,61;;49,79;69,22;68,08;56,71;30,04
3617;Gode;69;26-06-2008;431200;Forberedende byggepladsarbejder;;7695;7969;8721;6607;5261;;3185;649;686;0;0;;12870;8169;10921;8763;11386;;33;3708;4156;2102;3668;;41793;24791;25858;21744;14402;;55758;37605;42079;33193;29854;;11,55;-0,8;8,76;8,69;13,71;;99,76;98,79;108,99;106,63;143,3;;23,08;21,72;25,95;26,4;38,14;;36,53;;20,49;21,42;23,71
3666; Gode;69;01-04-1997;289900;Fremstilling af øvrige maskiner til specielle formål i.a.n.;;18647;17930;16131;15923;12341;;1250;211;595;9;1265;;27639;27722;21862;19040;14616;;6729;3449;40;22;28;;20118;32925;46992;53196;43448;;60934;69852;73284;76827;65799;;3,09;-7,95;-8,42;1,06;-1,48;;131,98;97,42;100,36;107,21;110,11;;45,36;39,69;29,83;24,78;22,21;;3,32;21,13;12,91;23,24;4,32
3707; Gode;69;01-09-1988;433420;Glarmestervirksomhed;;13804;10227;15323;10680;10461;;2482;1000;1000;3927;7702;;19979;17602;22098;18455;17236;;4871;1415;1099;;;;29189;38666;30002;21154;21042;;65675;67221;61215;44469;43388;;18,56;25,09;29,41;33,86;33,85;;190,9;162,56;193,29;205,15;201,86;;30,42;26,19;36,1;41,5;39,73;;44,93;71,04;60,83;60,8;63,27
3742; Gode;69;12-12-2007;331200;Reparation af maskiner;;22252;15958;13765;12280;9863;;307;1676;179;414;374;;23796;17819;15958;14807;12728;;4603;12306;12001;13496;14725;;40438;30050;27938;24034;7717;;70116;61042;57341;53778;35927;;11,01;5,13;4,15;5,4;6,3;;150,29;168,82;169,87;179,04;348,26;;33,94;29,19;27,83;27,53;35,43;;25,12;10,44;7,21;14,04;12,37
3922; Gode;69;04-01-1984;282200;Fremstilling af løfte- og håndteringsudstyr;;47447;45127;46112;45816;44436;;242;435;3769;41118;43412;;49170;46903;47855;49466;53300;;4425;3312;;;;;40537;20554;58510;16992;32405;;100215;77163;113202;77103;100144;;2,42;-2,59;-0,3;5,86;9,5;;130,83;129,27;108,83;422,81;285,97;;49,06;60,78;42,27;64,16;53,22;;4,61;;0,81;6,83;13,53
